gene,mean_in,mean_out,mean_diff,p_fisher,dep_frac_in,dep_frac_out,t_stat,p_ttest,p_wilcoxon
MRPL28,-0.8095581535628849,-0.5021571950920936,-0.3074009584707913,0.06432846309551095,0.8125,0.33053691275167785,-4.659839842442587,0.00044361333814040314,0.0033849083506021856
SLC25A28,-0.6848075540950727,-0.3750635951821766,-0.3097439589128961,0.06432846309551095,0.625,0.18120805369127516,-3.501638306454141,0.013376957307093424,0.052949128255099655
BIRC2,-0.5380106620198415,-0.2244535120234959,-0.3135571499963456,0.06432846309551095,0.4375,0.07634228187919463,-4.823129163675268,0.00023297852892989774,0.0026857176926318883
KNTC1,-0.6700300552970125,-0.3436263266655959,-0.32640372863141665,0.06768895752354354,0.625,0.18288590604026847,-4.22000432417832,0.0018749261005606046,0.006636574098672276
SLC25A18,-0.3219329259334961,-0.2201563842445139,-0.1017765416889822,0.07410152276243948,0.1875,0.0050335570469798654,-2.9735939343732904,0.04306368652750869,0.2591630909349613
NFAT5,-0.2833427322685007,-0.0495140424369254,-0.23382868983157531,0.07410152276243948,0.1875,0.0050335570469798654,-6.373467233874404,1.6117281070638456e-07,0.021708530669062705
FANCE,-0.3667518383024968,-0.19966561688342183,-0.16708622141907498,0.07603681362880849,0.3125,0.03271812080536913,-3.6426073885113177,0.009035635709096523,0.0873688672553789
RAI2,-0.05209543120261055,0.14125700425424847,-0.19335243545685904,0.07603681362880849,0.125,0.0,-6.1622147420063875,4.7319936657564047e-07,0.03990139389505831
CDCA3,-0.5509566993516095,-0.32076832815137496,-0.23018837120023455,0.07664607299793633,0.5,0.11241610738255034,-3.863370874836168,0.0051238225482842445,0.021708530669062705
UCN,-0.4184501082654406,-0.2393124285013527,-0.1791376797640879,0.08083539445962236,0.3125,0.03355704697986577,-3.9592195282340383,0.0038785054471291666,0.061435548570478074
TCOF1,-0.8396824114074974,-0.5394803623120182,-0.3002020490954792,0.08312778532403091,0.875,0.41023489932885904,-4.051526653066984,0.0029503557577231247,0.005087599041357666
TAF5L,-0.621216861046924,-0.25185520972996556,-0.3693616513169584,0.08688076203922006,0.625,0.19379194630872484,-3.3774614795178657,0.01864009151209326,0.015319836510119448
FRAT2,-0.27435336272392047,-0.1743766037756627,-0.09997675894825778,0.08688076203922006,0.1875,0.00587248322147651,-2.4671650058720607,0.10618841140713546,0.32191737791674724
MXRA7,-0.6514776669191105,-0.397770329597771,-0.2537073373213395,0.08688076203922006,0.5625,0.15268456375838926,-4.943646200524448,0.0001611717384254338,0.00605697540569221
FAM98B,-0.7330615995356095,-0.3741636523646856,-0.3588979471709239,0.09176078673928809,0.6875,0.24161073825503357,-4.371554683065552,0.0011987450297768832,0.006492630849740075
SLC31A1,-0.5996593095408844,-0.2765159527001286,-0.32314335684075585,0.1017714125303291,0.375,0.05956375838926174,-6.303965644409065,2.3378657443405832e-07,0.002858441506021471
XRCC3,-0.9404679195195687,-0.60729995916839,-0.3331679603511787,0.1039835232479168,0.9375,0.49916107382550334,-3.897477797421681,0.004584775474065699,0.0036005530940969306
XYLT2,-0.5420912385324064,-0.33758150122405456,-0.2045097373083518,0.10568616943280978,0.5,0.12164429530201343,-3.365628860982183,0.01929520868952246,0.12424678697569351
MAPRE1,-0.5840831847317336,-0.37255053331052207,-0.21153265142121153,0.10568616943280978,0.5,0.12164429530201343,-3.9971364691825384,0.003473370641916179,0.01691738227105259
VKORC1L1,-0.4599546142470945,-0.22758748256818298,-0.23236713167891151,0.10889091233120975,0.3125,0.037751677852348994,-4.6463711522157,0.00046040833992431324,0.012235831933727234
POLE3,-0.6828140006526499,-0.38869500700126813,-0.2941189936513817,0.11580723201231692,0.625,0.20385906040268456,-3.2798343120107436,0.022989659468010834,0.014381655154016553
MDM4,-0.5725742853617948,-0.15172579458845545,-0.4208484907733393,0.1183076053648452,0.4375,0.09144295302013423,-5.080059143214805,9.579948113058045e-05,0.0007103486635992765
NSUN5,-0.37037797942399125,-0.1408326642862318,-0.22954531513775944,0.1271843521628451,0.1875,0.007550335570469799,-5.51254819811747,1.372662796767394e-05,0.006492630849740075
DDX31,-0.48256394734066377,-0.198487586689827,-0.28407636065083675,0.1271843521628451,0.25,0.02097315436241611,-6.677362655184361,3.493445058890192e-08,0.00022120410373319423
ZNF217,-0.8608890097253534,-0.4631498784986106,-0.3977391312267428,0.1271843521628451,0.75,0.30788590604026844,-3.9768164000147634,0.0036641108058772256,0.023802166966842505
INTS13,-0.6645897048998601,-0.3797975476658824,-0.2847921572339777,0.1271843521628451,0.5625,0.16526845637583892,-4.5077570117452685,0.0007439514283058724,0.008765976630437631
WDR44,-0.4466887517662779,-0.2304920361171807,-0.21619671564909723,0.1335172896488662,0.375,0.06543624161073826,-3.7990616966560378,0.0060274849155527825,0.06552942325052241
TRIM37,-0.6073204583995642,-0.3766534029598328,-0.23066705543973137,0.1335172896488662,0.5625,0.16778523489932887,-3.2348767954222293,0.024918365660337814,0.03375003025287847
CHTF18,-0.6101872222589747,-0.3413420665962339,-0.2688451556627408,0.1335172896488662,0.5,0.12919463087248323,-4.361124950241438,0.0012137359369323898,0.01691738227105259
UQCC1,-0.47895710059398755,-0.25460178038615255,-0.224355320207835,0.13690891395326144,0.375,0.0662751677852349,-4.0293238949432,0.0031921364883134708,0.024492573230539404
SUCNR1,-0.04086878757311725,0.05617134797655288,-0.09704013554967013,0.1432627404694567,0.125,0.0008389261744966443,-2.6758916750211386,0.07505137982682081,0.6455207055119542
CHCHD3,-0.5044754613072981,-0.328515085101542,-0.17596037620575616,0.1522861158882759,0.4375,0.09815436241610738,-3.516941532321565,0.012791397530454553,0.03465528837295571
FAAP100,-0.47270091866871444,-0.3299523061016027,-0.14274861256711174,0.1790662744868587,0.375,0.07046979865771812,-3.2134306489269946,0.026159768095935686,0.16084849596401454
SRD5A3,-0.5949506391364671,-0.28964180944054546,-0.3053088296959216,0.20793894641590657,0.375,0.07298657718120806,-5.6224564013968665,8.610965030251757e-06,0.0036005530940969306
RBM34,-0.39831298076138,-0.21789948107805499,-0.180413499683325,0.20793894641590657,0.25,0.025167785234899327,-3.9675455144759537,0.003767132991939021,0.0185658283694784
ACSL3,-0.6803669746840022,-0.4157603287279947,-0.2646066459560075,0.22450855166514438,0.625,0.2273489932885906,-2.8243852276139045,0.057370585957808376,0.08434106585110122
FANCA,-0.48066683474306854,-0.25585860741623373,-0.2248082273268348,0.24008236753660547,0.375,0.07550335570469799,-3.7667621961660425,0.006625022734296087,0.03062165341909531
DCAF5,-0.32881472057820726,-0.022483815892970143,-0.3063309046852371,0.24536240951688315,0.125,0.0016778523489932886,-8.943226484690747,4.266844544396452e-15,4.07554743661775e-05
H4C1,-0.26767773580955684,-0.15527575295940022,-0.11240198285015662,0.24536240951688315,0.125,0.0016778523489932886,-3.113133290960226,0.03195979587178441,0.15152903919464702
GLI1,-0.4068637403566016,-0.25550276079653783,-0.15136097956006378,0.24536240951688315,0.25,0.026845637583892617,-3.418446265951025,0.016789944622166025,0.10534102417365251
ZC3H7A,-0.35145614593526714,-0.10169344022041743,-0.2497627057148497,0.24536240951688315,0.1875,0.010906040268456376,-5.522222273203912,1.347393286820536e-05,0.00605697540569221
