indication,gene,n_cell_lines,mean_score_indication,mean_score_other,delta_mean,dep_frac_indication,dep_frac_other,p_fisher,p_ttest,p_wilcoxon,consensus_type
Clear Cell Ovarian Cancer,KIDINS220,8,-0.9200591454539463,-0.0717843095830347,-0.8482748358709116,0.625,0.03833333333333333,0.0338806528910013,5.6832163811978215e-18,0.16297008215738443,2-test (N<10)
Colon Adenocarcinoma,CTNNB1,48,-1.2628931888483816,-0.20524295367808476,-1.0576502351702968,0.75,0.07155172413793104,1.4355358343567735e-24,2.44330300965995e-78,2.967212277464171e-15,3-test
Colon Adenocarcinoma,TCF7L2,48,-0.7108499420429318,-0.07841131977709345,-0.6324386222658384,0.625,0.039655172413793106,5.66849794240701e-23,3.856164110909409e-54,1.5980187867426655e-12,3-test
Colon Adenocarcinoma,KLF5,48,-0.9532274753570675,-0.3783529723395058,-0.5748745030175617,0.5833333333333334,0.20172413793103447,4.8722629606880505e-05,1.9397539014028563e-15,1.2264979931040302e-07,3-test
Cutaneous Melanoma,SOX10,8,-1.5914638504574876,-0.38610030819332586,-1.2053635422641618,1.0,0.09416666666666666,0.00014925641264466896,9.28234923003183e-11,1.4181523345094861e-05,2-test (N<10)
"Diffuse Large B-Cell Lymphoma, NOS",EBF1,16,-1.3870404063320374,-0.09743845034315461,-1.2896019559888827,0.9375,0.034395973154362415,3.78301751994414e-16,5.999341897420968e-71,2.3544113595288815e-07,3-test
"Diffuse Large B-Cell Lymphoma, NOS",PAX5,16,-0.9971596015541321,-0.07580460820556843,-0.9213549933485636,0.8125,0.026006711409395974,1.3798113936572585e-13,1.359647004908312e-67,3.145825788372092e-06,3-test
"Diffuse Large B-Cell Lymphoma, NOS",SH3GL1,16,-1.2383102158907733,-0.18294031566019722,-1.055369900230576,0.8125,0.03523489932885906,1.8782242361509884e-12,3.524755491340463e-61,4.823892216380156e-07,3-test
"Diffuse Large B-Cell Lymphoma, NOS",CYB561A3,16,-0.6852832474877715,-0.08847333693229421,-0.5968099105554773,0.5,0.007550335570469799,6.048615828781121e-09,5.428993680026167e-49,4.724875657874044e-06,3-test
Endometrial Carcinoma,PAX8,20,-0.7903014498790601,-0.17640956714791048,-0.6138918827311497,0.65,0.0563973063973064,1.7150549038543218e-07,8.89698959671908e-12,0.0013656603805715952,3-test
Esophageal Squamous Cell Carcinoma,TIMM17A,24,-0.8082108132104938,-0.3244619922445543,-0.4837488209659395,0.6666666666666666,0.125,3.368081583983987e-05,3.2411584564171613e-10,0.0002603782594609205,3-test
Esophageal Squamous Cell Carcinoma,ADAR,24,-0.9860092273383995,-0.48622605279613057,-0.4997831745422689,0.7916666666666666,0.3015202702702703,0.009852318899284646,2.766576693129292e-06,0.0003268333206502333,3-test
Ewing Sarcoma,FLI1,28,-1.1129333378406694,-0.0625334523316295,-1.05039988550904,0.7142857142857143,0.02457627118644068,8.731733509041669e-20,5.53073041198454e-97,4.076269616983161e-11,3-test
Ewing Sarcoma,TRIM8,28,-0.748513764229385,-0.01946521502052303,-0.729048549208862,0.4642857142857143,0.002542372881355932,1.0627359169096482e-16,2.6220205154794594e-87,6.986890646821363e-12,3-test
