gene,pearson_r,p_value
INPP5D,0.18555701485908221,0.1134610673931373
OR11H4,0.184234014665665,8.89556186937951e-10
MUC3A,0.1841405859602133,0.11629138745845949
LRRC74B,0.18340988614416157,0.11777255424534118
RHOU,0.1833962203749567,1.3439115975573593e-10
H2AX,0.1832285793737562,1.397672536210406e-10
PRKDC,0.1830049958104356,0.1185995044575248
IQSEC2,0.18293339480059725,1.4974819653277488e-10
OTOGL,0.18204334617728354,0.11306464647216682
HCN2,0.18188315591871418,1.9122366009272062e-10
GRK1,0.1816790404574215,0.12397344573379243
TMEM18,0.18117895139407644,2.2510586667032467e-10
RASSF10,0.18104832100789361,0.12265877932477844
TMEM225B,0.17975618543057068,0.12539711564383213
MTG2,0.17922734607166152,3.5257906536227193e-10
TEX13D,0.17905735891675673,0.1380365905782105
EZH2,0.17823491374007108,4.4210528966414254e-10
C2CD4A,0.17815500660593353,4.5020861488568857e-10
EED,0.17752132632492607,5.198049471121796e-10
INAFM2,0.17744194770221722,0.13041776652549214
TWNK,0.1773804912795036,5.366410801594112e-10
SMIM33,0.17581471651207228,0.14543335960029483
CPLX3,0.17551029010643207,8.174427758820692e-10
RPIA,0.1737842608151596,1.2005907431817464e-09
OVCH1,0.1720502025682894,0.13459572058794822
SUV39H1,0.17195497578023564,1.796777037856088e-09
KDM4B,0.171911712742213,1.8138970272422062e-09
PLEKHA2,0.1717791356237444,0.1352202375699145
POLG2,0.17128177216694954,2.0819071268285793e-09
POLG,0.17067466810338325,2.3764592182624067e-09
HMCES,0.1696386080436246,2.975287833530489e-09
MRPS17,0.16920724666796716,3.2657822676041146e-09
BTBD19,0.16913871858599192,0.1414187849318386
CHAMP1,0.16857417972817873,3.7426210580760745e-09
RECQL4,0.1684964458275411,0.15126785674175305
MDC1,0.16838757167093288,3.89565189363932e-09
C17orf113,0.16834137473522315,0.16360499151165556
SMIM26,0.1681813941741611,0.16401148389989487
SRD5A3,0.1674025561552344,4.809806528294225e-09
DNAH8,0.1671302320021798,0.14627531052476578
ZC4H2,0.1669428260442942,5.304812924657039e-09
CFAP74,0.1662992286340009,0.15675002157703574
RAMP3,0.16617510590070486,6.243831857928657e-09
TUBB8,0.16598848232093197,0.15753710116489197
C1orf232,0.16569078269918502,0.17043611492128827
SHISA8,0.1656726393411854,0.15834009018628184
ZNF385C,0.16552961291711354,0.15870471234956324
ATG9B,0.16515452476737544,0.15966389237686018
NDUFAF6,0.16514337768093185,7.763491580913237e-09
GATB,0.1646564258485636,8.600101727990123e-09
LRCOL1,0.1642965612788744,0.16187401351081618
BAD,0.16397512178752588,9.91902170470918e-09
BIN3,0.16342894391053275,1.1116253541403827e-08
TFB1M,0.16334832986100065,1.130443732829279e-08
ANKRD18B,0.1624597620243064,0.16668149390658737
ZNF551,0.16083744057447186,1.8990080765932007e-08
CD163L1,0.16068083650524295,1.9609294493088307e-08
UGT2B10,0.1603961672759814,0.1634716664959379
BRD3OS,0.16014105677527468,0.18541128393147738
GOLGA6L2,0.1599112628949433,0.1647652349076052
SAA2,0.15988147547076115,0.19622215817662464
SPAAR,0.15964878461154797,0.1867841490442357
GTF3C5,0.15944853091024475,2.521416399504104e-08
CIP2A,0.15894137680683018,2.7947015159464405e-08
ZNF577,0.1588682510167793,2.8364011471826e-08
ERICH5,0.158804982395508,2.8729657682642007e-08
GFM2,0.15839801066407264,3.11932162473147e-08
CUEDC1,0.1580946831632434,3.31612754905139e-08
MRPS18C,0.1579777970154747,3.3951329170246105e-08
COX11,0.1576032187533129,3.6607949419183906e-08
LIAS,0.15715945372039095,4.001635470014969e-08
HSD17B10,0.1569753923090498,4.1518508937112954e-08
DRD4,0.15680484400397146,4.295902250991866e-08
MARS2,0.15674256715854717,4.349700393685874e-08
AQP7B,0.15666063418272433,0.19861713020840815
MYO15B,0.1566331643345876,0.19535468702232492
GADD45GIP1,0.15632670694022524,4.72603464508917e-08
PIK3R5,0.1563068262429239,4.744793782606106e-08
MFSD2B,0.15624057123822283,4.807832940775374e-08
ZNF692,0.1561087042930857,4.935721187614781e-08
ALKBH1,0.15561060755603423,5.4491669933808475e-08
IZUMO4,0.15526198760039378,5.8388955461902746e-08
TRMT61A,0.15501136534700477,6.135598232272034e-08
C11orf16,0.15484176953585946,6.34459857323219e-08
CEBPZOS,0.15481410774224014,0.2006589027191079
IBA57,0.15454668697222634,6.724772064968414e-08
MIPEP,0.15447912419484433,6.814869109549205e-08
FAM227A,0.15430043347453154,0.18028616833716166
RAD50,0.15421930057288466,7.172358157321654e-08
IDH3B,0.1540754015321099,7.378084688750457e-08
TSKS,0.15403207431279256,7.441138009381378e-08
MXRA7,0.15346572173103773,8.314834623998193e-08
BCL2L12,0.15295044115556553,1.5559793200140317e-07
MTIF3,0.15286751777568014,9.34520708648651e-08
LEFTY1,0.15239942123602895,1.725749150999092e-07
MRPL47,0.15238598838087522,1.0263292053845258e-07
DCLRE1B,0.15216028455751895,1.0723068066728236e-07
UCN2,0.15196661708599363,1.1133400054068053e-07
SLC22A17,0.15152632706499938,1.2123513435827114e-07
OR14A2,0.1512346525853794,0.2015288714371222
HSD17B7,0.15111201576007563,1.313256094562244e-07
FLT3LG,0.15054604732565935,1.4642949779028486e-07
SCO2,0.15050567532301246,1.4756876654053406e-07
MRPL28,0.15015420628494427,1.578553969993948e-07
IL25,0.1499476821481582,1.642193154957887e-07
PDSS2,0.14993909382163606,1.6448925537202225e-07
ASDURF,0.14987973117195794,0.21556251548915367
OXER1,0.149757582159788,1.702956119096836e-07
AIRIM,0.149422149343943,1.8155074350291295e-07
FANCG,0.14941361180560603,1.8184638366955513e-07
RPL34,0.14924237522850192,0.2044069353158718
MEAK7,0.1491589214858217,1.9088275747446412e-07
MRPS12,0.14913944291592102,1.9159142153996532e-07
DDX31,0.1490529201538061,1.9477008535231582e-07
BICRAL,0.14893274480064636,1.9926965612228824e-07
SYNM,0.14887491399057298,0.19628124184069728
PSCA,0.14873404133549295,2.0693041985725806e-07
WNT3,0.1484991622718057,2.163527979792935e-07
CFAP91,0.14827182106204975,2.258663475158307e-07
DPH5,0.14809205734651457,2.3367349996678455e-07
ZNHIT1,0.14798854146659043,2.382866814594844e-07
H4C9,0.1473990950130294,2.662777557163414e-07
MRPS9,0.1473767537066585,2.673987632935675e-07
MTHFD1,0.14726557820014624,2.7304519139615916e-07
AFG2B,0.1469676157598856,2.887512130221039e-07
HUS1,0.14662555507308198,3.0785664145340435e-07
ATP5PF,0.14623121082617532,3.313961725004137e-07
CPLX1,0.14576152401690176,3.6170136302884183e-07
CSF2,0.14556697573694705,3.750215049048393e-07
MRM2,0.1455637474931139,3.75246472104754e-07
NGRN,0.14506594467692205,4.1153847404379215e-07
COA6,0.14496858485868408,4.19021470297979e-07
UQCR10,0.14478453757214915,1.5873663839085175e-06
SNAI3,0.1446627481160281,4.433903522157735e-07
LSM10,0.1446214594817094,4.467830225955748e-07
RARA,0.1444692398238335,4.595082377213325e-07
FHL2,0.1444105641056098,4.645060373562856e-07
POPDC3,0.14440523482627804,4.6496255260181166e-07
LIPT1,0.14430612328628406,4.7353180120102633e-07
MRGPRE,0.14415384926250233,4.869946421472389e-07
PGAM1,0.14409436610308332,0.22063263215811796
NCBP3,0.14393549626428132,5.069448023859556e-07
ZSCAN26,0.14363698095630728,0.22211676708483907
TPI1,0.1434566794752809,5.534854650587774e-07
DUSP28,0.1432044744338498,5.796270822529786e-07
PHIP,0.14318876659227558,5.812939693595656e-07
HERC6,0.14317995631662447,5.822309188213884e-07
TALDO1,0.14296420018702408,6.056351193199922e-07
NDUFAF1,0.14295316007572442,6.068567399245538e-07
RPL36A,0.14272895981212666,0.00531299165552204
DLD,0.14262815571699566,6.439011421252953e-07
FAF1,0.1419438620097096,7.29144434815116e-07
PGM3,0.14188194445358668,7.373721510434098e-07
TCTN3,0.14182946262869583,7.444159132044495e-07
CHRAC1,0.14180012011524895,7.483822408449991e-07
MRPL48,0.14172951249254429,7.580100224397076e-07
SYN2,0.14155256365727714,0.22896893449566746
FGF16,0.14144193175854144,0.22933668932203263
MGST1,0.14122455868086167,8.304209547802906e-07
TUBA4B,0.1410438358295304,0.24416370403178536
THAP4,0.14098677804512827,8.667806615824334e-07
DARS2,0.1408571876496321,8.872363824104781e-07
TBRG4,0.14061297407981824,9.270540183160753e-07
MAN1A2,0.1406052541939762,9.283403068400394e-07
C1QTNF2,0.14058169026148107,9.322771554422657e-07
PCSK6,0.14048723376142427,0.2325273308401387
CIMAP1B,0.1404057465665346,9.621838798676378e-07
TAF13,0.1403680148466646,9.68716538796097e-07
CARS2,0.14005953652955477,1.0237479221427884e-06
SLC49A3,0.13991118916987727,1.051270923526766e-06
FLVCR1,0.13984164100479662,1.064417831165975e-06
DCAF13,0.1398362985533181,0.22514571453968327
SLC25A25,0.1398352450696288,1.0656347786569079e-06
FCAMR,0.13975541652309045,1.0809366298002137e-06
ANKRD49,0.13970996206455016,1.0897436535884134e-06
FAM98B,0.13966619446018746,1.098288991443631e-06
CAND2,0.13955616492395617,1.1200569579792911e-06
DOHH,0.13929561333944168,1.1732697944334013e-06
DNAAF5,0.1391873422878213,1.1960893961224616e-06
PLEKHO2,0.139079845043515,1.2191674855946118e-06
UQCC3,0.13907414653011843,1.2204027395686817e-06
KNDC1,0.13902399962560297,1.2313249489972081e-06
LYPD5,0.13871980339072287,1.2996205038729724e-06
NDUFC1,0.1386990266286458,1.3044155609931953e-06
CAMK1G,0.13834511727382873,1.388751986827151e-06
GLP1R,0.13818779221127458,1.4279018013022332e-06
DNAAF3,0.13765870071651035,1.567491472596414e-06
UQCRB,0.13763971876266803,1.5727353260751429e-06
SDHB,0.13759684218810134,1.584642243008969e-06
FANCA,0.13745863952041643,1.6236133584409668e-06
PCSK1N,0.13743738978237902,1.6296864921813446e-06
TENM3,0.1373811088477808,1.6458770274557581e-06
ANO7,0.13711882074762635,1.7233889450749185e-06
LHFPL6,0.13700103240596315,1.759327079591219e-06
ENTREP3,0.13696268970815687,1.771180126411267e-06
SLC31A1,0.1368815618886944,1.7965126869923196e-06
MTHFD2,0.13686805200805202,1.800764846936099e-06
FGF2,0.13675185526237682,1.8377380921843981e-06
COA7,0.13642486704787785,1.9457351095253633e-06
PPM1G,0.13613296667892993,2.0472659534705487e-06
PARS2,0.13608177332160323,2.0655884451648513e-06
PMEL,0.13600597505899925,2.0930063840393036e-06
ANKH,0.13572094259642217,2.1992671949574874e-06
EARS2,0.13565348617243445,2.2251620163447896e-06
LAMA4,0.1356363115959092,2.2318014600133016e-06
RIBC2,0.13557491538049882,0.23973728679685613
YIPF3,0.13553444252631744,2.271574857590329e-06
CCDC194,0.13553090837613016,0.26327383795637804
HHIP,0.13526925947785579,2.3783254557865123e-06
CREG1,0.13522998446304713,2.394539110811281e-06
BAHD1,0.13520665906353424,2.4042184952087878e-06
IER5,0.13488175316064707,2.543008311160538e-06
ZNF7,0.13479543934246707,2.581150946759489e-06
MDM4,0.1346695536913749,2.6377653088390843e-06
MRPS10,0.13462111643138105,2.65986445949881e-06
PHF6,0.13452193379808422,2.70567086203794e-06
RNASEH1,0.13442207984136378,2.7525505839751637e-06
SLC35G6,0.13438549077645512,4.167929501845352e-06
ASPHD1,0.1342348188890378,2.8425734899007115e-06
MRPL15,0.13413083127779488,2.8937754586947977e-06
AQP4,0.13409258381779812,2.9128293288029376e-06
GART,0.1340571587823504,2.930584338095531e-06
NUDT5,0.13401323679407004,2.9527420425396095e-06
RPL6,0.13400624163024538,0.008820732663503575
MMP17,0.13396689271560483,2.976295659750371e-06
SIDT1,0.13356401294016773,3.188778392269294e-06
ATRX,0.13349230025635878,3.228093163144794e-06
C20orf204,0.1334661488181575,0.2706841412865607
BCS1L,0.13344201997655433,3.2559345809390937e-06
LRRC24,0.13325605206893876,3.3609216518065517e-06
SNCB,0.13324159453326165,3.36921801041862e-06
LYZL4,0.13319843221671163,3.394103267035864e-06
DPY19L2,0.13300476148052937,3.540750141939879e-06
TPGS2,0.13295480197656812,3.5379031888913003e-06
PMVK,0.13287399639389835,3.586873030401226e-06
IQCA1L,0.1327402701448485,0.25955967919715367
TTLL8,0.1324824625109846,0.2742632233678087
H2BC7,0.13238412143377337,1.159967611502741e-05
SUZ12,0.13228657316137182,3.962883594023212e-06
NLGN4Y,0.13213818636836966,0.009820362209153556
CCDC92,0.13195624041427517,4.190611233805641e-06
GJB4,0.13194976997600996,4.1951945676431025e-06
KLHL17,0.13188757275647028,4.239497356781608e-06
MED12L,0.1316386654389289,4.42131542245074e-06
BRD9,0.13156813845308765,4.47417463141589e-06
RAD9A,0.131435531452772,4.575203853422391e-06
PUS1,0.13141890449915428,4.588024354675162e-06
MRPS33,0.1312978185814675,4.682431788181769e-06
SLC7A11,0.13126193782118628,4.710762135109021e-06
ACAD8,0.13123765897842235,4.7300249041266485e-06
GLRX5,0.1312141598463374,4.748740799325922e-06
COX4I1,0.13115212536325152,4.798489168753297e-06
AARS2,0.13110030440112902,4.840428649174065e-06
LRRC55,0.13107400367791788,4.861848133313725e-06
XRCC3,0.13085315049804977,5.0453247183234555e-06
TDP1,0.13046474397183888,5.3841749637587645e-06
LDB1,0.13046417472821883,5.38468718884271e-06
HMBS,0.13041708943981062,5.427217869367303e-06
USP12,0.1304151255523533,5.428998747652095e-06
CLIC6,0.13029527461832066,5.53874499669461e-06
CAMKK2,0.13028921514642078,5.54434954950704e-06
MRPS23,0.1302791391287718,5.553681109576615e-06
CYCS,0.13018732800031094,5.639403449018461e-06
HEMK2,0.13015853768866137,5.666543953745676e-06
RAB11FIP5,0.13015252427421706,5.672228517689905e-06
SMIM17,0.1300081670519485,5.81033915502272e-06
TNKS1BP1,0.12999478967778125,5.823299169071877e-06
TXN2,0.12996829617225816,5.8490477074406915e-06
HEG1,0.12991361063604168,5.9025401334799945e-06
HADHB,0.12983315860528066,5.9820876984161125e-06
OTX2,0.12975649208946216,6.058845071087735e-06
NFE2,0.12973933865261994,6.076147248267638e-06
TTC29,0.12964593497811544,6.17119260717251e-06
CELA2A,0.12941455637354587,6.41279611129322e-06
CBLN3,0.1292906737759134,6.545841974215495e-06
COL17A1,0.12919130369669066,6.654464398955617e-06
ARID3C,0.1291886678271364,6.65736901066752e-06
PPP4R3C,0.12912804725687463,0.2867048831147291
DGAT2L6,0.12907820113081203,6.780193481266401e-06
BID,0.12896281304915855,6.910800319244431e-06
RPL36AL,0.12895285715365243,6.922181260946915e-06
TBC1D22A,0.1288442686430035,7.047480994264363e-06
PPM1D,0.128614370023673,7.319946782614321e-06
MCAT,0.12860710759643193,7.328715727394842e-06
ARHGAP18,0.1285478881924893,7.400595015274024e-06
FAM229B,0.12852997866680307,7.422465499715483e-06
DLST,0.12847923768574349,7.484764292744451e-06
ASPRV1,0.128460291460323,7.508153892232157e-06
VENTX,0.12843537348679354,7.539022057076247e-06
RAD51D,0.1284220689027737,7.555553251298838e-06
MYL12B,0.12839529274593742,7.588928126761933e-06
IFITM10,0.1283191656596476,7.684586857291605e-06
MTFMT,0.12826695538694602,7.750856995188266e-06
SLX4,0.12817580178795376,7.867867757242699e-06
CALHM4,0.12786983127240154,8.273088763877718e-06
RARRES2,0.12784322260465314,8.309255222119498e-06
TRMT10C,0.12780181723979972,8.36583365221575e-06
MYOZ1,0.12775215920265817,8.43417402287563e-06
MRM3,0.12753835651395656,8.734547596930823e-06
CIROP,0.12746441769729042,0.29301144678516716
ERAL1,0.12744908341991737,8.862966475484867e-06
COX6B1,0.12738285031606605,8.959404723669766e-06
SLC38A9,0.12722690761896566,9.190434246644994e-06
HEXIM2,0.12720640074914327,9.221234854694308e-06
ZNF503,0.12719587380179903,9.237084200535023e-06
RAD1,0.1271413990056453,9.319517495731585e-06
TAGLN2,0.1270449259243816,9.46722937294155e-06
SLC16A1,0.12698041129916532,9.567252548772719e-06
NDUFS4,0.12693651370786357,9.63588673313325e-06
FARS2,0.1268473143592345,9.776800351447684e-06
STEAP3,0.12682105520564027,9.818656680988056e-06
ABRAXAS2,0.12679773300699174,9.855974881020394e-06
FAM83E,0.1267268415462105,9.970241912625177e-06
COX7C,0.1267092613949544,9.998773576687892e-06
GALNT6,0.12670342863200054,1.0008257040579354e-05
PROZ,0.12665894479571016,1.0080865889647207e-05
SOX18,0.12665490758702752,1.0087480446972112e-05
EDA,0.12656969861042577,1.022805633527301e-05
COX5A,0.1264372606590905,1.0450264940834394e-05
MRPL43,0.1263699289257072,1.0564994339605832e-05
RPL23A,0.1262738398577816,0.013642209703740155
USP48,0.12616228847448843,1.0926414359643212e-05
MFN2,0.1260788478652074,1.1074946985753426e-05
MROH6,0.1260635409290324,1.1102403028655931e-05
AGPAT1,0.12603958031794862,1.114551151623257e-05
LYNX1,0.12596401799530818,0.01362730897679896
OR5B2,0.12595440248600323,3.0426551028914154e-05
GNG10,0.12592206119009325,1.1359266031724269e-05
MIIP,0.1259176199357768,1.1367420347978645e-05
YBEY,0.12580329536702295,1.1579255834528462e-05
TPK1,0.1258002366073703,1.1584974872618366e-05
FGD1,0.12577999961314779,1.1622880378216908e-05
NUTM2D,0.12572062643093287,0.2997188895268123
OTUD7B,0.12556908325632246,1.2025046001119595e-05
IMPDH2,0.12554407620495867,1.2073598516246519e-05
RTN4IP1,0.12545735955361537,1.2243415012261659e-05
MCUB,0.1254408009509528,1.2276099392597536e-05
TPM2,0.1254049681940667,1.2347113204028251e-05
KDM3B,0.1253412300722833,1.247439888026378e-05
P2RY4,0.12526676820653018,1.2624683923307413e-05
C20orf202,0.12515714339235443,1.284908136162242e-05
UTP23,0.12509174203067816,1.298476001846032e-05
ACTR5,0.12506369427316344,1.3043363920309346e-05
FAM180B,0.1250274435121566,0.27862003995447465
P2RX5,0.12500371625381906,1.3169530805160855e-05
SHISA5,0.12495569275808165,1.3271388137214504e-05
NAT16,0.12486442143621666,1.3467046165644495e-05
TAAR9,0.12484044646102627,0.28924121308929596
THTPA,0.1248139788620541,1.3576355741443419e-05
SLC38A3,0.12471413055560807,0.28973329288967986
CLEC11A,0.12469515921297641,1.3837189516586679e-05
SARS2,0.12459473219760384,1.4061363559728e-05
POLR1E,0.12447291425205022,1.4337931168783236e-05
PARVG,0.12445396372400032,1.4381418194503163e-05
KCNQ5,0.1244460028631459,1.4399723953546361e-05
HHIPL1,0.12431535045970295,1.4703344751907748e-05
CLEC4D,0.1242408512331727,1.4879191578489229e-05
PRRG2,0.12420547899404503,1.4963383173245914e-05
LRPPRC,0.12411709400024942,1.5175741153629918e-05
